TimeUS,source_file
31050519.0,1 01-01-1980 05-30-00.log
31250544.0,1 01-01-1980 05-30-00.log
31470941.0,1 01-01-1980 05-30-00.log
31650580.0,1 01-01-1980 05-30-00.log
31850552.0,1 01-01-1980 05-30-00.log
32050508.0,1 01-01-1980 05-30-00.log
32250604.0,1 01-01-1980 05-30-00.log
32470919.0,1 01-01-1980 05-30-00.log
32650576.0,1 01-01-1980 05-30-00.log
32850599.0,1 01-01-1980 05-30-00.log
33050494.0,1 01-01-1980 05-30-00.log
33250588.0,1 01-01-1980 05-30-00.log
33470951.0,1 01-01-1980 05-30-00.log
33650507.0,1 01-01-1980 05-30-00.log
33850567.0,1 01-01-1980 05-30-00.log
34050586.0,1 01-01-1980 05-30-00.log
34250513.0,1 01-01-1980 05-30-00.log
34470959.0,1 01-01-1980 05-30-00.log
34650505.0,1 01-01-1980 05-30-00.log
34850614.0,1 01-01-1980 05-30-00.log
35050508.0,1 01-01-1980 05-30-00.log
35250519.0,1 01-01-1980 05-30-00.log
35470927.0,1 01-01-1980 05-30-00.log
35650513.0,1 01-01-1980 05-30-00.log
35850582.0,1 01-01-1980 05-30-00.log
36050523.0,1 01-01-1980 05-30-00.log
36250520.0,1 01-01-1980 05-30-00.log
36470956.0,1 01-01-1980 05-30-00.log
36650528.0,1 01-01-1980 05-30-00.log
36850605.0,1 01-01-1980 05-30-00.log
37050498.0,1 01-01-1980 05-30-00.log
37250525.0,1 01-01-1980 05-30-00.log
37470975.0,1 01-01-1980 05-30-00.log
37650536.0,1 01-01-1980 05-30-00.log
37850518.0,1 01-01-1980 05-30-00.log
38050505.0,1 01-01-1980 05-30-00.log
38250552.0,1 01-01-1980 05-30-00.log
38470950.0,1 01-01-1980 05-30-00.log
38650516.0,1 01-01-1980 05-30-00.log
38850580.0,1 01-01-1980 05-30-00.log
39050496.0,1 01-01-1980 05-30-00.log
39250514.0,1 01-01-1980 05-30-00.log
39470976.0,1 01-01-1980 05-30-00.log
39650505.0,1 01-01-1980 05-30-00.log
39850530.0,1 01-01-1980 05-30-00.log
40050497.0,1 01-01-1980 05-30-00.log
40250513.0,1 01-01-1980 05-30-00.log
40470948.0,1 01-01-1980 05-30-00.log
40650507.0,1 01-01-1980 05-30-00.log
40850586.0,1 01-01-1980 05-30-00.log
41050503.0,1 01-01-1980 05-30-00.log
41250545.0,1 01-01-1980 05-30-00.log
41470952.0,1 01-01-1980 05-30-00.log
41650516.0,1 01-01-1980 05-30-00.log
41850486.0,1 01-01-1980 05-30-00.log
42050508.0,1 01-01-1980 05-30-00.log
42250528.0,1 01-01-1980 05-30-00.log
42470901.0,1 01-01-1980 05-30-00.log
42650500.0,1 01-01-1980 05-30-00.log
42850581.0,1 01-01-1980 05-30-00.log
43050506.0,1 01-01-1980 05-30-00.log
43250528.0,1 01-01-1980 05-30-00.log
43470961.0,1 01-01-1980 05-30-00.log
43650514.0,1 01-01-1980 05-30-00.log
43850530.0,1 01-01-1980 05-30-00.log
44050522.0,1 01-01-1980 05-30-00.log
44250519.0,1 01-01-1980 05-30-00.log
44470954.0,1 01-01-1980 05-30-00.log
44650503.0,1 01-01-1980 05-30-00.log
44850561.0,1 01-01-1980 05-30-00.log
45050512.0,1 01-01-1980 05-30-00.log
45250524.0,1 01-01-1980 05-30-00.log
45470982.0,1 01-01-1980 05-30-00.log
