TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,GPS_Spd,IMU_GyrX,IMU_GyrY,IMU_GyrZ,IMU_AccX,IMU_AccY,IMU_AccZ,BARO_Press,BARO_Temp,ATT_Roll,ATT_Pitch,ATT_Yaw,AHR2_Roll,AHR2_Pitch,AHR2_Yaw,XKF1_VN,XKF1_VE,XKF1_VD,XKF1_PN,XKF1_PE,XKF1_PD,XKF3_IVN,XKF3_IVE,XKF3_IVD,MAG_MagX,MAG_MagY,MAG_MagZ,VIBE_VibeX,VIBE_VibeY,VIBE_VibeZ
352787111,0.0,0.0,-17.0,0.0,-0.002430113,0.0008420332,-0.005089534,-0.06241907,-0.1262214,-9.788095,93671.21569051515,34.91,-0.2446412453133417,-0.43444212178128927,229.5392142395403,-0.25,-0.43,229.12989614613366,0.0063375302858743494,-0.0018676086009603837,-0.006083269608003201,0.0,0.0,0.03453710573589436,0.0,0.0,0.0,-72.99241335249961,257.39797955598146,220.4434595112602,0.08651763289573171,0.051802795413911085,0.05260769945167629
352826737,0.0,0.0,-17.0,0.0,-0.01517012,-0.0159345,0.001126892,-0.3653956,0.1257702,-9.811457,93671.5635505367,34.91,-0.24521929742523094,-0.43466135702799225,229.5297269587598,-0.25,-0.43,229.11012999191914,-0.0003220059186474604,-0.00640232265240096,-0.006000664303341337,0.0,0.0,0.05013855883973589,0.0,0.0,0.0,-168.71885481552468,241.179863440345,256.0442022041208,0.07614849951372056,0.036090928899661846,0.03072695041416046
352826737,0.0,0.0,-17.0,0.0,-0.002031629,-0.001479149,0.001071636,-0.2808555,-0.03171124,-9.795233,93671.5635505367,34.91,-0.24521929742523094,-0.43466135702799225,229.5297269587598,-0.25,-0.43,229.11012999191914,-0.0003220059186474604,-0.00640232265240096,-0.006000664303341337,0.0,0.0,0.05013855883973589,0.0,0.0,0.0,-168.71885481552468,241.179863440345,256.0442022041208,0.07614849951372056,0.036090928899661846,0.03072695041416046
352866543,0.0,0.0,-17.0,0.0,-0.001931734,0.001747318,-0.002949452,-0.1008561,-0.119139,-9.795406,93671.89008076962,34.91,-0.24599787600485012,-0.4350069879387921,229.52035250072652,-0.25,-0.43,229.09413946498347,0.010010256620424818,4.533094563782553e-05,-0.005964508550582023,0.0,0.0,0.062472734075363016,0.0,0.0,0.0,-21.629512793550653,264.26653647789294,204.8563416954584,0.08996258030201006,0.0650035117553458,0.0641521383528728
352866543,0.0,0.0,-17.0,0.0,-0.01514662,-0.01680234,-0.003037383,-0.1993139,0.05381878,-9.797678,93671.89008076962,34.91,-0.24599787600485012,-0.4350069879387921,229.52035250072652,-0.25,-0.43,229.09413946498347,0.010010256620424818,4.533094563782553e-05,-0.005964508550582023,0.0,0.0,0.062472734075363016,0.0,0.0,0.0,-21.629512793550653,264.26653647789294,204.8563416954584,0.08996258030201006,0.0650035117553458,0.0641521383528728
352906584,0.0,0.0,-17.0,0.0,-0.01482935,-0.0157211,-0.002121068,-0.3745317,0.10663,-9.820271,93672.19503276881,34.91,-0.2469853488330611,-0.4354841126604604,229.5110836578449,-0.25,-0.43,229.0821042981665,0.002574202131465258,-0.004507049975639025,-0.005570205848193927,0.0,0.0,0.07267248168366736,0.0,0.0,0.0,-119.87241500175256,246.62291322417505,242.95052826598567,0.08219970254333754,0.045658406225675865,0.04128755899887773
352906584,0.0,0.0,-17.0,0.0,-0.002085211,-0.001503689,-0.0013533,-0.2831357,-0.04964219,-9.816016,93672.19503276881,34.91,-0.2469853488330611,-0.4354841126604604,229.5110836578449,-0.25,-0.43,229.0821042981665,0.002574202131465258,-0.004507049975639025,-0.005570205848193927,0.0,0.0,0.07267248168366736,0.0,0.0,0.0,-119.87241500175256,246.62291322417505,242.95052826598567,0.08219970254333754,0.045658406225675865,0.04128755899887773
352946919,0.0,0.0,-17.0,0.0,-0.005188234,-0.0001614582,0.0006770343,-0.1118882,-0.1302425,-9.783576,93672.49445959037,34.91,-0.24797636164788325,-0.4359659558980605,229.50175316290168,-0.25,-0.43,229.0699744286399,0.01298574214287857,0.002195399504702953,-0.005549163504624954,0.0,0.0,0.08227292106048939,0.0,0.0,0.0,26.989781240635303,274.0,184.00681250624314,0.095041716399097,0.07559436147536235,0.07236315312533088
352946919,0.0,0.0,-17.0,0.0,-0.01548378,-0.0157546,1.40572e-05,-0.2117313,0.06301898,-9.806503,93672.49445959037,34.91,-0.24797636164788325,-0.4359659558980605,229.50175316290168,-0.25,-0.43,229.0699744286399,0.01298574214287857,0.002195399504702953,-0.005549163504624954,0.0,0.0,0.08227292106048939,0.0,0.0,0.0,26.989781240635303,274.0,184.00681250624314,0.095041716399097,0.07559436147536235,0.07236315312533088
352987034,0.0,0.0,-17.0,0.0,-0.01564917,-0.01675754,-0.00340252,-0.2930937,0.12128,-9.791492,93671.73331735523,34.91,-0.24831849862543298,-0.4366559161184703,229.49358416203322,-0.25,-0.43,229.05394638005433,0.012987563345666543,0.0015053141179218207,-0.005273656439695603,0.0,0.0,0.08856389703722962,0.0,0.0,0.0,25.787653581060834,274.0,184.80823094595945,0.10224536639210477,0.07501955785538053,0.07306908352059215
352987034,0.0,0.0,-17.0,0.0,-0.002994568,-0.001419245,-0.003144582,-0.2197975,-0.0475754,-9.795971,93671.73331735523,34.91,-0.24831849862543298,-0.4366559161184703,229.49358416203322,-0.25,-0.43,229.05394638005433,0.012987563345666543,0.0015053141179218207,-0.005273656439695603,0.0,0.0,0.08856389703722962,0.0,0.0,0.0,25.787653581060834,274.0,184.80823094595945,0.10224536639210477,0.07501955785538053,0.07306908352059215
353026758,0.0,0.0,-17.0,0.0,-0.01464724,-0.01569928,-0.0005529836,-0.3013556,0.0568907,-9.814493,93670.97959395629,34.91,-0.2486573008015812,-0.43733915131217743,229.48549478423192,-0.25,-0.43,229.03807455649672,0.012989366797232027,0.0008219549778372215,-0.005000834735912641,0.0,0.0,0.09479355501304987,0.0,0.0,0.0,24.597243032664068,274.0,185.60183797822395,0.10937880257114603,0.07445035683331502,0.07376813322821668
353026758,0.0,0.0,-17.0,0.0,-0.00148963,-0.0006056405,0.000722828,-0.1738162,-0.1327193,-9.812024,93670.97959395629,34.91,-0.2486573008015812,-0.43733915131217743,229.48549478423192,-0.25,-0.43,229.03807455649672,0.012989366797232027,0.0008219549778372215,-0.005000834735912641,0.0,0.0,0.09479355501304987,0.0,0.0,0.0,24.597243032664068,274.0,185.60183797822395,0.10937880257114603,0.07445035683331502,0.07376813322821668
353066577,0.0,0.0,-17.0,0.0,-0.001832302,-0.002402318,-0.0008288029,-0.1537999,-0.03355006,-9.795988,93670.53253662885,34.91,-0.24856361950085662,-0.4379975172325695,229.47879322118806,-0.25,-0.4319633756845783,229.02410987294627,-0.0022215793306878044,-0.008411104727597134,-0.004555019870055876,0.0,0.0,0.10018655730196016,0.0,0.0,0.0,-172.01476757341237,241.96507844334758,247.26897007438853,0.09422534843258776,0.036606234815575,0.032939640356635096
